Generation,ID,fitness,max Fitness,mean fitness,,,,,,,
,,,,,,,,,,,
12,96,376.8,0,0,,,,,,,
,,,,,,,,,,,
12,97,16.4,0,0,,,,,,,
,,,,,,,,,,,
12,98,33.4,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,518.6,324.55,,,,,,,
,,,,,,,,,,,
13,95,494.5,0,0,,,,,,,
,,,,,,,,,,,
13,63,448.8,0,0,,,,,,,
,,,,,,,,,,,
13,99,538.6,0,0,,,,,,,
,,,,,,,,,,,
13,100,3.5,0,0,,,,,,,
,,,,,,,,,,,
13,101,592.9,0,0,,,,,,,
,,,,,,,,,,,
13,102,118.7,0,0,,,,,,,
,,,,,,,,,,,
13,103,0,0,0,,,,,,,
,,,,,,,,,,,
13,104,477,0,0,,,,,,,
,,,,,,,,,,,
13,105,414.7,0,0,,,,,,,
,,,,,,,,,,,
13,106,274.5,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,592.9,336.32,,,,,,,
,,,,,,,,,,,
14,101,413.3,0,0,,,,,,,
,,,,,,,,,,,
14,99,262,0,0,,,,,,,
,,,,,,,,,,,
14,107,402.8,0,0,,,,,,,
,,,,,,,,,,,
14,108,443.9,0,0,,,,,,,
,,,,,,,,,,,
14,109,213.6,0,0,,,,,,,
,,,,,,,,,,,
14,110,439,0,0,,,,,,,
,,,,,,,,,,,
14,111,66.9,0,0,,,,,,,
,,,,,,,,,,,
14,112,259.9,0,0,,,,,,,
,,,,,,,,,,,
14,113,40.5,0,0,,,,,,,
,,,,,,,,,,,
14,114,142.1,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,443.9,268.4,,,,,,,
,,,,,,,,,,,
15,108,441.2,0,0,,,,,,,
,,,,,,,,,,,
15,110,408.8,0,0,,,,,,,
,,,,,,,,,,,
15,115,566.5,0,0,,,,,,,
,,,,,,,,,,,
15,116,410.7,0,0,,,,,,,
,,,,,,,,,,,
15,117,410,0,0,,,,,,,
,,,,,,,,,,,
15,118,66.8,0,0,,,,,,,
,,,,,,,,,,,
15,119,328.1,0,0,,,,,,,
,,,,,,,,,,,
15,120,459,0,0,,,,,,,
,,,,,,,,,,,
15,121,266.3,0,0,,,,,,,
,,,,,,,,,,,
15,122,453,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,566.5,381.04,,,,,,,
,,,,,,,,,,,
16,115,453,0,0,,,,,,,
,,,,,,,,,,,
16,120,452.9,0,0,,,,,,,
,,,,,,,,,,,
16,123,578.5,0,0,,,,,,,
,,,,,,,,,,,
16,124,327.5,0,0,,,,,,,
,,,,,,,,,,,
16,125,471.9,0,0,,,,,,,
,,,,,,,,,,,
16,126,519.6,0,0,,,,,,,
,,,,,,,,,,,
16,127,455.4,0,0,,,,,,,
,,,,,,,,,,,
16,128,663.3,0,0,,,,,,,
,,,,,,,,,,,
16,129,429.9,0,0,,,,,,,
,,,,,,,,,,,
16,130,31.8,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,663.3,438.38,,,,,,,
,,,,,,,,,,,
17,128,683,0,0,,,,,,,
,,,,,,,,,,,
17,123,310.5,0,0,,,,,,,
,,,,,,,,,,,
17,131,416.2,0,0,,,,,,,
,,,,,,,,,,,
17,132,282.6,0,0,,,,,,,
,,,,,,,,,,,
17,133,435.5,0,0,,,,,,,
,,,,,,,,,,,
17,134,53.3,0,0,,,,,,,
,,,,,,,,,,,
17,135,461.9,0,0,,,,,,,
,,,,,,,,,,,
17,136,140.8,0,0,,,,,,,
,,,,,,,,,,,
17,137,63.7,0,0,,,,,,,
,,,,,,,,,,,
17,138,327.4,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,683,317.49,,,,,,,
,,,,,,,,,,,
18,128,441.4,0,0,,,,,,,
,,,,,,,,,,,
18,135,302.5,0,0,,,,,,,
,,,,,,,,,,,
18,139,410.2,0,0,,,,,,,
,,,,,,,,,,,
18,140,457.7,0,0,,,,,,,
,,,,,,,,,,,
18,141,24.2,0,0,,,,,,,
,,,,,,,,,,,
18,142,391.3,0,0,,,,,,,
,,,,,,,,,,,
18,143,421.4,0,0,,,,,,,
,,,,,,,,,,,
18,144,366,0,0,,,,,,,
,,,,,,,,,,,
18,145,33,0,0,,,,,,,
,,,,,,,,,,,
18,146,255.6,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,457.7,310.33,,,,,,,
,,,,,,,,,,,
19,140,450.6,0,0,,,,,,,
,,,,,,,,,,,
19,128,670.9,0,0,,,,,,,
,,,,,,,,,,,
19,147,454.6,0,0,,,,,,,
,,,,,,,,,,,
19,148,430,0,0,,,,,,,
,,,,,,,,,,,
19,149,423.3,0,0,,,,,,,
,,,,,,,,,,,
19,150,591.3,0,0,,,,,,,
,,,,,,,,,,,
19,151,450.2,0,0,,,,,,,
,,,,,,,,,,,
19,152,439.7,0,0,,,,,,,
,,,,,,,,,,,
19,153,436.2,0,0,,,,,,,
,,,,,,,,,,,
19,154,565.9,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,670.9,491.27,,,,,,,
,,,,,,,,,,,
20,128,603.4,0,0,,,,,,,
,,,,,,,,,,,
20,150,430.8,0,0,,,,,,,
,,,,,,,,,,,
20,155,113.1,0,0,,,,,,,
,,,,,,,,,,,
20,156,135.7,0,0,,,,,,,
,,,,,,,,,,,
20,157,692.1,0,0,,,,,,,
,,,,,,,,,,,
20,158,393.2,0,0,,,,,,,
,,,,,,,,,,,
20,159,688.4,0,0,,,,,,,
,,,,,,,,,,,
20,160,54.1,0,0,,,,,,,
,,,,,,,,,,,
20,161,587.8,0,0,,,,,,,
,,,,,,,,,,,
20,162,255.7,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,692.1,395.43,,,,,,,
,,,,,,,,,,,
21,157,696.8,0,0,,,,,,,
,,,,,,,,,,,
21,159,429.6,0,0,,,,,,,
,,,,,,,,,,,
21,163,421.9,0,0,,,,,,,
,,,,,,,,,,,
21,164,138.7,0,0,,,,,,,
,,,,,,,,,,,
21,165,98.7,0,0,,,,,,,
,,,,,,,,,,,
21,166,437.4,0,0,,,,,,,
,,,,,,,,,,,
21,167,603.1,0,0,,,,,,,
,,,,,,,,,,,
21,168,456.5,0,0,,,,,,,
,,,,,,,,,,,
21,169,421.8,0,0,,,,,,,
,,,,,,,,,,,
21,170,15.7,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,696.8,372.02,,,,,,,
,,,,,,,,,,,
22,157,733.8,0,0,,,,,,,
,,,,,,,,,,,
22,167,589.8,0,0,,,,,,,
,,,,,,,,,,,
22,171,62,0,0,,,,,,,
,,,,,,,,,,,
22,172,435.3,0,0,,,,,,,
,,,,,,,,,,,
22,173,724,0,0,,,,,,,
,,,,,,,,,,,
22,174,517.6,0,0,,,,,,,
,,,,,,,,,,,
22,175,71.8,0,0,,,,,,,
,,,,,,,,,,,
22,176,412.9,0,0,,,,,,,
,,,,,,,,,,,
22,177,412.3,0,0,,,,,,,
,,,,,,,,,,,
22,178,454.6,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,733.8,441.41,,,,,,,
,,,,,,,,,,,
23,157,721.3,0,0,,,,,,,
,,,,,,,,,,,
23,173,670.1,0,0,,,,,,,
,,,,,,,,,,,
23,179,460.7,0,0,,,,,,,
,,,,,,,,,,,
23,180,414.8,0,0,,,,,,,
,,,,,,,,,,,
23,181,677.9,0,0,,,,,,,
,,,,,,,,,,,
23,182,132.6,0,0,,,,,,,
,,,,,,,,,,,
23,183,272.4,0,0,,,,,,,
,,,,,,,,,,,
23,184,555.5,0,0,,,,,,,
,,,,,,,,,,,
23,185,111.2,0,0,,,,,,,
,,,,,,,,,,,
23,186,444.1,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,721.3,446.06,,,,,,,
,,,,,,,,,,,
24,157,675.5,0,0,,,,,,,
,,,,,,,,,,,
24,181,723.5,0,0,,,,,,,
,,,,,,,,,,,
24,187,389.3,0,0,,,,,,,
,,,,,,,,,,,
24,188,127.4,0,0,,,,,,,
,,,,,,,,,,,
24,189,448.2,0,0,,,,,,,
,,,,,,,,,,,
24,190,67.1,0,0,,,,,,,
,,,,,,,,,,,
24,191,458.1,0,0,,,,,,,
,,,,,,,,,,,
24,192,439.4,0,0,,,,,,,
,,,,,,,,,,,
24,193,478.9,0,0,,,,,,,
,,,,,,,,,,,
24,194,603.6,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,723.5,441.1,,,,,,,
,,,,,,,,,,,
25,181,668.6,0,0,,,,,,,
,,,,,,,,,,,
25,157,631,0,0,,,,,,,
,,,,,,,,,,,
25,195,373.5,0,0,,,,,,,
