Generation,ID,fitness,max Fitness,mean fitness
9,61,536.1,0,0
9,67,0.8,0,0
9,68,370.0999999999998,0,0
9,69,435.69999999999993,0,0
9,70,141.10000000000005,0,0
9,71,150.70000000000002,0,0
9,72,172.70000000000002,0,0
9,73,213.60000000000002,0,0
9,74,151.10000000000002,0,0
9,0,0,536.1,251.42999999999992
10,61,476.60000000000014,0,0
10,69,234.89999999999995,0,0
10,75,58.9,0,0
10,76,207.79999999999998,0,0
10,77,348.9000000000001,0,0
10,78,226.79999999999998,0,0
10,79,58.10000000000002,0,0
10,80,138.89999999999998,0,0
10,81,271.80000000000007,0,0
10,82,147.5,0,0
10,0,0,476.60000000000014,217.02000000000004
11,61,512.1000000000001,0,0
11,77,106.60000000000001,0,0
11,83,0.0,0,0
11,84,454.49999999999994,0,0
11,85,127.80000000000001,0,0
11,86,32.199999999999996,0,0
11,87,45.0,0,0
11,88,308.6,0,0
11,89,0.8,0,0
11,90,56.5,0,0
11,0,0,512.1000000000001,164.41000000000003
12,61,492.20000000000016,0,0
12,84,262.79999999999995,0,0
12,91,61.70000000000002,0,0
12,92,243.20000000000005,0,0
12,93,475.30000000000007,0,0
12,94,57.199999999999996,0,0
12,95,58.39999999999999,0,0
12,96,283.7000000000001,0,0
12,97,292.19999999999993,0,0
12,98,251.90000000000003,0,0
12,0,0,492.20000000000016,247.86000000000004
13,61,601.8000000000002,0,0
13,93,252.19999999999993,0,0
13,99,201.89999999999998,0,0
13,100,126.00000000000001,0,0
13,101,379.8000000000001,0,0
13,102,204.99999999999997,0,0
13,103,69.30000000000001,0,0
13,104,55.800000000000004,0,0
13,105,58.900000000000006,0,0
13,106,222.80000000000004,0,0
13,0,0,601.8000000000002,217.35000000000005
14,61,493.2,0,0
14,101,592.2,0,0
14,107,52.900000000000006,0,0
14,108,505.50000000000006,0,0
14,109,59.699999999999996,0,0
14,110,130.8,0,0
14,111,553.3000000000003,0,0
14,112,239.5000000000001,0,0
14,113,144.99999999999991,0,0
14,114,117.2,0,0
14,0,0,592.2,288.93
15,101,591.6,0,0
15,111,557.5000000000001,0,0
15,115,100.8,0,0
15,116,52.2,0,0
15,117,302.3000000000001,0,0
15,118,150.70000000000002,0,0
15,119,242.79999999999993,0,0
15,120,159.20000000000005,0,0
15,121,473.6,0,0
15,122,58.499999999999986,0,0
15,0,0,591.6,268.92
16,101,490.0000000000001,0,0
16,111,598.2000000000002,0,0
16,123,48.4,0,0
16,124,63.300000000000004,0,0
16,125,651.5000000000002,0,0
16,126,357.4000000000001,0,0
16,127,333.3000000000001,0,0
16,128,146.8,0,0
16,129,107.70000000000003,0,0
